,Unnamed: 0,policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
5708,5708,714562,7/9/1996,IL,1000,2777.400078,0,43563,42,MALE,tech-support,video-games,2/18/2015,NC,minor damage,Northbend,3448 Best Ridge,17,other,none,NO,332200,500000,NO,180162,5566,185728,NO,NO,NO
5709,5709,216265,8/7/1996,OH,1000,2293.190408,0,43858,40,MALE,farming-fishing,exercise,2/2/2015,NY,trivial damage,Northbend,9597 Francis Ave,0,hurricane,other,NO,276000,500000,NO,12637,4291,16928,NO,NO,NO
5710,5710,321713,11/8/2007,OH,1000,5386.799921,0,60056,62,MALE,adm-clerical,dancing,1/18/2015,SC,total loss,Columbus,5821 5th Drive,18,theft,other,NO,505600,1000000,NO,505600,4248,509848,NO,YES,NO
5711,5711,355556,9/30/1990,IN,500,1455.020684,0,43883,29,MALE,exec-managerial,movies,2/14/2015,WV,total loss,Springfield,7375 Pine St,18,hail,other,NO,126400,1000000,NO,126400,7426,133826,NO,NO,NO
5712,5712,165866,1/26/2005,OH,1000,3247.832058,0,60056,34,MALE,exec-managerial,exercise,2/24/2015,SC,total loss,Columbus,5508 Britain Drive,8,hail,other,NO,319000,1000000,YES,319000,703,319703,NO,YES,NO
5713,5713,579467,10/4/2013,OH,500,4769.26303,0,44450,34,FEMALE,tech-support,reading,1/18/2015,WV,total loss,Columbus,2019 4th Ave,3,theft,ambulance,NO,490400,300000,NO,490400,773,491173,YES,NO,NO
5714,5714,901818,3/4/1997,IL,1000,1635.669389,0,43136,25,FEMALE,other-service,kayaking,2/20/2015,SC,minor damage,Columbus,6063 Lincoln Drive,11,hurricane,other,NO,167400,300000,NO,99360,3026,102386,NO,NO,NO
5715,5715,714718,7/9/2008,IL,1000,4866.661044,0,62047,34,FEMALE,craft-repair,camping,1/1/2015,NC,trivial damage,Hillsdale,9254 5th Ave,19,theft,ambulance,NO,510600,300000,NO,5958,10456,16414,YES,YES,NO
5716,5716,148903,12/31/2011,IN,500,2796.725368,0,46053,38,MALE,other-service,reading,1/22/2015,NY,trivial damage,Northbrook,6519 Tree Hwy,18,other,ambulance,NO,235200,500000,NO,76963,988,77951,YES,NO,NO
5717,5717,381020,3/23/2007,IL,1000,3031.098667,0,44346,31,FEMALE,craft-repair,dancing,1/30/2015,NY,minor damage,Northbrook,6162 Weaver Drive,0,theft,ambulance,NO,370400,300000,NO,164304,9078,173382,YES,NO,NO
5718,5718,907139,8/19/1990,OH,1000,5425.01883,6000000,46566,63,MALE,tech-support,kayaking,1/8/2015,PA,total loss,Springfield,6911 MLK Ridge,10,hurricane,other,NO,594800,500000,NO,594800,10135,604935,NO,NO,NO
5719,5719,893790,4/20/1998,IN,1000,2744.707752,0,43289,45,FEMALE,craft-repair,kayaking,2/24/2015,NY,minor damage,Columbus,6638 Cherokee Lane,0,hurricane,ambulance,NO,285800,1000000,NO,167020,7996,175016,YES,NO,NO
5720,5720,902216,11/1/2008,IL,500,7816.956413,3000000,46628,38,MALE,exec-managerial,chess,2/2/2015,SC,minor damage,Northbend,8019 Cherokee St,1,other,none,NO,664000,1000000,YES,378412,8698,387110,YES,NO,NO
5721,5721,545208,10/25/1994,OH,1000,8696.958833,0,44385,29,MALE,sales,movies,1/29/2015,NY,total loss,Northbend,3346 Francis Lane,21,theft,other,NO,758000,1000000,NO,758000,604,758604,YES,NO,NO
5722,5722,600451,2/9/1992,IL,1000,6661.972239,0,61772,40,MALE,farming-fishing,kayaking,2/21/2015,SC,major damage,Northbend,9893 4th Ave,15,hurricane,other,NO,571200,300000,YES,426062,7206,433268,NO,YES,NO
5723,5723,985021,12/30/1999,IL,1000,959.4146919,0,60160,44,FEMALE,tech-support,chess,1/22/2015,NY,trivial damage,Hillsdale,1700 5th Drive,4,hail,ambulance,NO,102600,500000,YES,24444,6225,30669,YES,NO,NO
5724,5724,614444,1/2/1998,IL,1000,2720.040818,0,44086,34,FEMALE,exec-managerial,video-games,2/21/2015,NY,major damage,Columbus,6575 Pine Lane,12,hurricane,other,NO,295000,1000000,YES,222821,1364,224185,NO,NO,NO
5725,5725,162750,3/29/1996,IN,500,1423.693173,0,44083,55,MALE,sales,chess,1/8/2015,SC,minor damage,Riverwood,8777 Elm Hwy,9,theft,police,NO,162600,500000,NO,78616,2723,81339,NO,NO,NO
5726,5726,588632,2/23/2001,OH,500,3228.046066,0,46137,23,MALE,adm-clerical,video-games,2/5/2015,NY,minor damage,Springfield,2954 Cherokee St,23,hurricane,ambulance,NO,304200,1000000,NO,171134,10708,181842,NO,NO,NO
5727,5727,544498,8/6/1999,OH,1000,3428.484872,0,61947,50,FEMALE,armed-forces,chess,2/25/2015,NY,major damage,Hillsdale,5184 3rd Drive,21,theft,none,NO,306200,1000000,NO,224261,7451,231712,NO,NO,NO
5728,5728,883868,8/20/1998,IL,500,5336.478669,0,44885,50,MALE,farming-fishing,exercise,1/16/2015,WV,trivial damage,Northbrook,7504 Oak Ave,16,hail,other,NO,468400,1000000,NO,47626,13828,61454,NO,NO,NO
5729,5729,109333,4/4/2012,IL,500,2532.344211,0,46567,40,FEMALE,sales,hiking,2/10/2015,SC,total loss,Springfield,3488 Andromedia Drive,0,fire,other,NO,222000,1000000,NO,222000,245,222245,YES,NO,NO
5730,5730,216054,9/4/2007,IL,500,3411.87649,0,61979,46,FEMALE,sales,dancing,1/18/2015,NY,total loss,Hillsdale,5714 Francis Ave,19,hail,other,NO,336400,500000,NO,336400,16992,353392,NO,NO,NO
5731,5731,721614,8/17/1998,IN,1000,2558.687269,0,43858,46,MALE,farming-fishing,dancing,2/1/2015,SC,total loss,Arlington,2381 Weaver Drive,18,hail,other,NO,262200,300000,YES,262200,21322,283522,YES,NO,NO
5732,5732,604956,11/30/1993,OH,1000,1680.343718,0,61392,42,FEMALE,adm-clerical,kayaking,3/1/2015,NY,total loss,Springfield,5504 Maple Lane,21,hail,other,NO,190000,300000,NO,190000,1102,191102,NO,NO,NO
5733,5733,810326,2/4/1992,IL,500,3248.934143,0,44846,61,MALE,sales,exercise,1/12/2015,NY,major damage,Northbend,6428 4th Drive,20,fire,none,NO,279200,1000000,NO,244996,16292,261288,NO,NO,NO
5734,5734,443009,7/10/2004,OH,1000,2913.516317,0,44829,31,MALE,adm-clerical,exercise,1/17/2015,VA,total loss,Northbrook,2804 Oak Hwy,11,hurricane,other,NO,268200,500000,NO,268200,4941,273141,NO,NO,NO
5735,5735,609832,10/4/2007,IL,1000,2298.935607,0,60940,56,FEMALE,tech-support,basketball,1/19/2015,WV,total loss,Springfield,8348 MLK Ave,6,hail,other,NO,241000,300000,NO,241000,6878,247878,YES,NO,NO
5736,5736,243684,4/11/2001,IL,500,2289.460363,7000000,60569,37,FEMALE,armed-forces,dancing,2/13/2015,NY,total loss,Northbend,4033 Francis Ave,12,hurricane,ambulance,NO,195000,500000,NO,195000,8470,203470,NO,YES,NO
5737,5737,948133,3/2/2007,IN,500,4471.425167,0,43640,28,MALE,other-service,hiking,2/24/2015,SC,total loss,Columbus,5933 Texas Hwy,20,other,ambulance,NO,414800,1000000,NO,414799,6591,421390,NO,NO,NO
5738,5738,658704,12/15/2004,IN,1000,3090.15961,0,45534,42,FEMALE,sales,kayaking,1/28/2015,OH,minor damage,Riverwood,5653 Francis Lane,4,hail,other,NO,303400,1000000,NO,162168,7498,169666,YES,NO,NO
5739,5739,714533,5/24/2005,IN,500,2804.613672,0,60574,53,FEMALE,farming-fishing,camping,1/31/2015,NY,total loss,Arlington,8964 Weaver Lane,9,other,ambulance,NO,274600,300000,NO,274600,16002,290602,NO,NO,NO
5740,5740,367935,7/27/1998,IL,1000,2567.095685,0,44675,30,FEMALE,tech-support,board-games,1/28/2015,NY,major damage,Arlington,7335 3rd Hwy,15,hurricane,ambulance,NO,278800,1000000,NO,170506,6733,177239,NO,NO,NO
5741,5741,932204,1/13/2011,IL,1000,3812.978911,0,61441,39,MALE,tech-support,board-games,2/21/2015,WV,total loss,Hillsdale,9083 Lincoln Lane,1,fire,ambulance,NO,327200,1000000,YES,327200,5390,332590,YES,NO,NO
5742,5742,623213,8/8/2011,OH,1000,3952.199593,0,43992,28,MALE,craft-repair,basketball,1/18/2015,VA,total loss,Riverwood,4513 Washington Drive,6,other,fire,NO,492200,500000,NO,492200,8205,500405,NO,NO,NO
5743,5743,802986,4/23/1992,IL,1000,2261.630424,0,45147,27,MALE,craft-repair,hiking,2/15/2015,SC,minor damage,Northbrook,3821 4th Hwy,14,hurricane,ambulance,NO,276400,500000,YES,112544,15080,127624,NO,YES,NO
5744,5744,854213,2/25/2014,OH,500,2642.284544,0,47364,39,MALE,transport-moving,board-games,1/11/2015,SC,major damage,Arlington,2048 Maple Ave,7,hurricane,other,NO,293000,500000,NO,180838,5436,186274,NO,YES,NO
5745,5745,255701,8/16/2009,OH,1000,1912.840125,0,61522,42,MALE,adm-clerical,dancing,1/24/2015,WV,minor damage,Hillsdale,7593 Texas Lane,9,theft,none,NO,226800,1000000,NO,120814,1136,121950,NO,YES,NO
5746,5746,646037,8/13/2009,IL,1000,2722.013089,0,47751,34,MALE,other-service,basketball,2/15/2015,NY,major damage,Columbus,5022 Britain Drive,17,hail,other,NO,249000,1000000,NO,195481,18960,214441,NO,NO,NO
5747,5747,109727,10/5/2013,IL,500,3351.414051,7000000,43697,50,FEMALE,other-service,basketball,2/18/2015,WV,major damage,Hillsdale,7601 4th Drive,4,hail,ambulance,NO,366400,300000,NO,286640,13632,300272,NO,YES,NO
5748,5748,310323,10/13/1997,IL,500,5980.63004,5000000,45094,38,FEMALE,adm-clerical,camping,2/23/2015,NY,total loss,Arlington,6508 Britain Ridge,8,fire,other,NO,502600,300000,NO,502600,6036,508636,NO,NO,NO
5749,5749,844721,3/30/2004,OH,1000,7853.564895999999,0,44223,40,FEMALE,tech-support,board-games,2/9/2015,WV,minor damage,Columbus,3250 Lincoln Hwy,3,hail,ambulance,NO,658600,1000000,YES,271717,7514,279231,YES,YES,NO
5750,5750,357975,1/16/2007,IN,500,2859.471169,0,60933,48,MALE,tech-support,camping,2/17/2015,SC,total loss,Hillsdale,7302 Maple Lane,15,fire,other,NO,313400,300000,NO,313400,20025,333425,NO,NO,NO
5751,5751,980103,3/26/2014,IL,1000,4183.527457,0,60713,33,FEMALE,armed-forces,kayaking,2/19/2015,NY,minor damage,Riverwood,1664 3rd St,1,fire,fire,NO,405200,300000,NO,175119,5191,180310,NO,NO,NO
5752,5752,775203,2/9/1996,OH,1000,3678.332526,0,61382,47,MALE,farming-fishing,movies,1/16/2015,WV,minor damage,Arlington,7231 Weaver Ridge,15,fire,police,YES,369800,500000,NO,201960,6359,208319,YES,NO,NO
5753,5753,828447,8/27/2004,IN,500,2171.522698,0,46681,31,MALE,other-service,dancing,1/6/2015,SC,total loss,Northbend,4865 Texas Drive,12,other,police,YES,244600,500000,NO,244600,1075,245675,NO,YES,NO
5754,5754,313809,7/31/1992,OH,1000,2847.119003,0,60623,37,MALE,adm-clerical,chess,1/26/2015,SC,minor damage,Springfield,1460 Francis Hwy,10,hail,ambulance,NO,305600,1000000,NO,181334,964,182298,NO,NO,NO
5755,5755,704408,6/25/1992,IN,500,4080.945731,0,60326,51,FEMALE,exec-managerial,basketball,2/18/2015,NY,total loss,Northbend,9716 Weaver Ridge,20,hail,other,NO,395600,1000000,NO,395600,2975,398575,YES,NO,NO
5756,5756,563143,6/19/1996,IN,500,1660.938212,6000000,43652,37,FEMALE,armed-forces,hiking,1/13/2015,NC,minor damage,Northbrook,1480 MLK Ave,3,theft,other,NO,168400,1000000,NO,80699,8420,89119,NO,YES,NO
5757,5757,556511,4/9/2000,IL,500,2873.453265,0,44482,47,FEMALE,armed-forces,kayaking,1/29/2015,WV,minor damage,Hillsdale,4699 Best Ridge,18,hurricane,other,NO,275800,300000,NO,161715,8768,170483,NO,YES,NO
5758,5758,147366,3/6/2001,IN,1000,2428.22529,0,47982,28,MALE,tech-support,kayaking,2/5/2015,WV,major damage,Arlington,6442 Sky Drive,21,other,fire,NO,218200,500000,NO,173567,4122,177689,NO,NO,NO
5759,5759,146845,5/9/2012,OH,500,2373.040081,0,44346,48,FEMALE,exec-managerial,camping,2/23/2015,WV,minor damage,Northbend,3598 Weaver Ridge,21,fire,other,NO,282800,300000,NO,118335,322,118657,NO,YES,NO
5760,5760,406463,12/26/2010,OH,1000,2280.891865,0,43636,32,FEMALE,exec-managerial,chess,2/22/2015,SC,minor damage,Columbus,6496 Tree Ridge,21,theft,police,YES,259600,300000,NO,136300,4167,140467,NO,NO,NO
5761,5761,956244,2/10/2011,IL,500,1196.283535,0,61098,44,FEMALE,sales,movies,2/17/2015,WV,minor damage,Springfield,7515 Andromedia St,14,hurricane,other,NO,108400,1000000,NO,45776,6565,52341,NO,YES,NO
5762,5762,944773,6/17/2014,OH,1000,4795.401234,0,44473,31,FEMALE,tech-support,chess,2/5/2015,VA,total loss,Riverwood,2408 Britain Ave,12,theft,other,NO,512400,1000000,NO,512400,433,512833,NO,NO,NO
5763,5763,947351,10/17/2003,IL,500,1581.6280800000004,0,43098,28,FEMALE,transport-moving,dancing,2/11/2015,PA,trivial damage,Riverwood,2939 MLK Hwy,18,theft,fire,NO,178800,1000000,NO,63791,5363,69154,NO,YES,NO
5764,5764,834319,4/16/1997,OH,500,3740.827664,0,61416,53,MALE,exec-managerial,exercise,1/10/2015,WV,major damage,Springfield,4017 Lincoln Lane,1,theft,fire,NO,381400,1000000,NO,231393,7213,238606,NO,NO,NO
5765,5765,183223,1/18/2011,IN,1000,1879.333618,4000000,43861,46,MALE,adm-clerical,movies,3/1/2015,WV,minor damage,Northbend,3697 5th Ave,17,other,ambulance,NO,171200,500000,NO,75135,5144,80279,NO,NO,NO
5766,5766,395338,7/12/1995,IN,500,2595.11556,0,45033,46,MALE,exec-managerial,exercise,2/10/2015,WV,total loss,Columbus,7862 Francis Ave,10,fire,none,NO,264000,500000,NO,264000,14234,278234,NO,NO,NO
5767,5767,293338,5/24/2011,IN,500,3407.019791,0,44286,25,FEMALE,armed-forces,exercise,1/1/2015,NY,minor damage,Riverwood,3380 Francis Drive,10,fire,ambulance,NO,318000,1000000,NO,180197,11392,191589,NO,NO,NO
5768,5768,258781,2/8/2004,OH,500,4570.29755,0,46778,36,FEMALE,farming-fishing,dancing,2/16/2015,WV,minor damage,Arlington,2841 Embaracadero St,13,fire,ambulance,NO,404800,500000,NO,222484,6035,228519,YES,NO,NO
5769,5769,606401,7/8/2014,OH,1000,2431.196665,0,45439,42,FEMALE,farming-fishing,basketball,2/16/2015,NY,minor damage,Northbrook,6108 Weaver Drive,9,theft,fire,NO,290400,300000,NO,124061,5299,129360,YES,YES,NO
5770,5770,335321,5/11/1999,OH,1000,5727.868591,0,60352,39,FEMALE,armed-forces,dancing,2/2/2015,NC,total loss,Arlington,6765 Embaracadero Ave,12,hail,ambulance,NO,538400,300000,NO,538400,6142,544542,YES,YES,NO
5771,5771,199646,5/1/2014,IN,500,2130.833932,6000000,43196,35,MALE,sales,chess,2/24/2015,WV,total loss,Columbus,4712 Cherokee Ridge,21,other,fire,NO,222800,300000,YES,222800,5544,228344,NO,NO,NO
5772,5772,731934,11/16/2005,IN,1000,4918.594266,0,44279,42,FEMALE,other-service,board-games,1/20/2015,NY,total loss,Springfield,8005 Best Ridge,1,hail,other,NO,473000,300000,NO,473000,382,473382,NO,NO,NO
5773,5773,299251,8/17/2000,OH,500,3842.95494,0,47940,31,FEMALE,armed-forces,hiking,1/5/2015,WV,trivial damage,Riverwood,5831 Cherokee Ave,11,fire,ambulance,NO,368800,300000,YES,51504,20824,72328,NO,NO,NO
5774,5774,555078,3/11/2004,IL,1000,2798.562518,0,43823,33,FEMALE,farming-fishing,video-games,2/13/2015,VA,minor damage,Arlington,1151 Best St,23,hail,fire,NO,261400,1000000,NO,148978,5813,154791,NO,NO,NO
5775,5775,278894,11/24/1995,OH,500,1662.00268,0,44254,28,MALE,sales,kayaking,2/25/2015,NY,major damage,Columbus,1462 Cherokee Lane,7,other,ambulance,NO,202200,500000,YES,166717,295,167012,YES,YES,NO
5776,5776,614551,2/14/2012,OH,1000,5795.213341,0,43083,28,MALE,transport-moving,reading,3/1/2015,VA,minor damage,Springfield,8830 Tree Ridge,6,hail,other,NO,653000,500000,YES,303666,3822,307488,NO,NO,NO
5777,5777,317642,4/13/2012,IL,1000,4323.51457,0,60621,47,MALE,craft-repair,reading,1/23/2015,OH,trivial damage,Northbrook,1953 Britain Drive,19,hurricane,fire,NO,373000,1000000,NO,39929,4,39933,NO,NO,NO
5778,5778,864758,12/6/2008,OH,500,3140.627838,0,46630,26,MALE,armed-forces,basketball,2/3/2015,NC,minor damage,Arlington,2185 1st Drive,22,hurricane,other,NO,289400,500000,YES,116860,11476,128336,NO,YES,NO
5779,5779,364810,8/4/2001,OH,500,4310.110028,0,60326,47,FEMALE,exec-managerial,exercise,2/28/2015,WV,total loss,Riverwood,9400 1st Drive,16,other,ambulance,NO,444000,1000000,NO,444000,3380,447380,YES,YES,NO
5780,5780,902545,5/24/2012,IL,1000,5371.455296,0,43640,41,FEMALE,adm-clerical,basketball,2/6/2015,VA,major damage,Springfield,1310 Cherokee Hwy,16,fire,none,NO,452000,1000000,NO,370702,5668,376370,NO,NO,NO
5781,5781,862387,8/26/1998,OH,500,1365.201427,0,61865,28,MALE,exec-managerial,basketball,1/2/2015,SC,trivial damage,Riverwood,6126 5th Lane,21,other,none,NO,130800,300000,NO,39244,853,40097,NO,YES,NO
5782,5782,743811,1/26/2001,IL,1000,2247.098266,6000000,44149,38,FEMALE,armed-forces,hiking,2/26/2015,WV,total loss,Riverwood,8903 Elm St,2,theft,police,NO,201000,300000,YES,201000,6901,207901,NO,NO,NO
5783,5783,341493,8/13/2009,OH,500,2768.183502,5000000,47363,41,FEMALE,transport-moving,camping,2/3/2015,SC,trivial damage,Northbrook,3489 2nd Ridge,11,other,other,NO,285400,300000,YES,35411,19442,54853,YES,NO,NO
5784,5784,899533,6/16/2012,IL,500,983.2234413,0,60160,61,MALE,other-service,hiking,2/27/2015,WV,total loss,Northbend,7143 Elm Ridge,12,other,fire,NO,90200,500000,NO,90200,14387,104587,NO,YES,NO
5785,5785,814060,3/22/1996,IL,500,3215.150977,0,46697,36,MALE,exec-managerial,camping,2/5/2015,NC,minor damage,Arlington,4033 Tree Drive,9,fire,police,YES,353200,300000,NO,185296,6852,192148,NO,YES,NO
5786,5786,288804,6/1/2008,IL,1000,1878.935374,0,44533,44,MALE,exec-managerial,camping,1/28/2015,WV,minor damage,Springfield,8505 MLK Ave,1,other,police,YES,214800,500000,NO,98728,6796,105524,YES,NO,NO
5787,5787,640362,8/1/1990,IL,500,3252.801444,0,47289,41,FEMALE,adm-clerical,hiking,2/16/2015,NY,trivial damage,Springfield,3674 Texas Lane,23,hurricane,fire,NO,315200,1000000,NO,48792,4561,53353,YES,YES,NO
5788,5788,813651,9/25/1990,IN,1000,2852.40809,0,46965,37,MALE,adm-clerical,reading,1/13/2015,WV,trivial damage,Northbend,3035 Weaver Ridge,17,theft,police,YES,294400,300000,NO,113259,5584,118843,NO,NO,NO
5789,5789,582638,5/16/1999,OH,500,1267.188103,0,60522,50,MALE,farming-fishing,board-games,2/27/2015,NC,total loss,Hillsdale,2592 Rock Lane,0,other,fire,NO,112800,500000,YES,112800,8725,121525,NO,NO,NO
5790,5790,532479,8/6/2009,IN,1000,3429.060293,0,44490,44,FEMALE,sales,board-games,2/20/2015,NY,total loss,Arlington,7438 Best Drive,21,fire,other,NO,336600,500000,NO,336600,13211,349811,NO,NO,NO
5791,5791,554943,7/1/2005,OH,1000,2894.263273,0,44797,49,MALE,tech-support,kayaking,2/4/2015,NC,minor damage,Northbrook,6676 Lincoln Lane,17,hail,other,NO,241800,1000000,NO,128928,3216,132144,NO,NO,NO
5792,5792,880869,12/10/1991,IL,1000,3131.393959,0,61769,43,MALE,armed-forces,video-games,2/28/2015,SC,minor damage,Riverwood,7740 5th St,10,other,other,NO,268800,1000000,NO,139137,6206,145343,NO,NO,NO
5793,5793,976086,9/24/2007,IN,1000,1918.107767,0,45893,41,MALE,other-service,basketball,1/8/2015,WV,minor damage,Hillsdale,1964 Andromedia Hwy,3,theft,none,NO,227400,500000,NO,129909,11833,141742,NO,NO,NO
5794,5794,976565,2/24/1994,IN,1000,3545.196264,0,61259,33,MALE,sales,chess,1/11/2015,VA,major damage,Arlington,5395 Rock Ridge,19,theft,police,YES,359600,1000000,NO,299121,573,299694,NO,NO,NO
5795,5795,662420,6/8/1990,OH,500,5550.510552000002,0,47061,48,MALE,tech-support,exercise,1/5/2015,WV,minor damage,Hillsdale,9266 Oak Ave,4,hurricane,other,NO,639800,500000,NO,276304,6094,282398,YES,NO,NO
5796,5796,617041,6/10/2000,OH,500,8283.821054,0,44898,41,FEMALE,adm-clerical,camping,1/25/2015,NC,minor damage,Springfield,5067 4th Ridge,19,hail,other,NO,748200,1000000,NO,303127,800,303927,NO,NO,NO
5797,5797,862309,9/30/2000,OH,500,2427.820737,0,61746,31,MALE,exec-managerial,exercise,2/15/2015,NY,minor damage,Northbrook,7759 4th Ave,6,hail,other,NO,260400,300000,NO,118235,9152,127387,NO,NO,NO
5798,5798,324837,2/5/2012,OH,1000,1441.838997,8000000,45274,51,MALE,sales,chess,1/26/2015,WV,total loss,Northbend,7410 Best Lane,9,fire,ambulance,NO,173800,300000,NO,173800,11010,184810,YES,NO,NO
5799,5799,128500,6/15/2011,IN,500,6351.880642,0,46576,29,MALE,adm-clerical,dancing,1/11/2015,WV,major damage,Arlington,9231 Tree Lane,0,hurricane,other,NO,541800,300000,YES,393637,16160,409797,NO,NO,NO
5800,5800,496489,7/26/1996,IN,1000,4184.245077000001,0,43599,30,MALE,transport-moving,chess,1/6/2015,WV,minor damage,Hillsdale,1902 Rock Lane,7,other,ambulance,NO,411200,500000,YES,179699,3313,183012,NO,YES,NO
5801,5801,533557,3/13/1996,OH,500,696.7360581,0,60228,32,FEMALE,armed-forces,hiking,2/2/2015,NY,minor damage,Columbus,6204 Washington Ave,13,hurricane,other,NO,85200,300000,YES,48750,8308,57058,NO,NO,NO
5802,5802,442541,7/10/1998,IN,1000,3183.871919,0,45942,33,FEMALE,farming-fishing,movies,1/15/2015,NY,total loss,Northbrook,8511 Maple Hwy,23,theft,police,NO,352800,300000,NO,352800,13476,366276,NO,NO,NO
5803,5803,137118,11/9/2008,IL,1000,1773.7235510000005,0,61416,60,FEMALE,exec-managerial,basketball,2/21/2015,SC,total loss,Northbend,4442 Britain Drive,20,hail,other,NO,184200,500000,NO,184200,6544,190744,NO,NO,NO
5804,5804,510539,7/24/1992,IL,1000,1778.605111,0,46056,28,FEMALE,adm-clerical,basketball,1/15/2015,VA,minor damage,Arlington,1265 4th St,11,other,fire,NO,185800,300000,NO,90461,19490,109951,NO,NO,NO
5805,5805,556835,4/19/2000,OH,500,1608.743886,6000000,43398,59,MALE,exec-managerial,board-games,2/24/2015,WV,total loss,Columbus,5166 Lincoln Lane,23,fire,ambulance,NO,183400,1000000,NO,183400,16612,200012,YES,NO,NO
5806,5806,824215,2/28/2012,IN,500,2218.038168,0,44898,37,MALE,craft-repair,chess,1/30/2015,VA,trivial damage,Riverwood,7186 Oak St,17,theft,fire,NO,234200,500000,YES,89516,870,90386,NO,NO,NO
5807,5807,126495,2/16/2003,OH,1000,4237.128617,0,44935,33,MALE,tech-support,exercise,2/8/2015,NY,total loss,Columbus,9170 5th Hwy,14,other,other,NO,403400,500000,NO,403400,21279,424679,YES,NO,NO
5808,5808,264721,10/25/2003,OH,500,1485.928842,0,61670,41,FEMALE,armed-forces,movies,2/19/2015,SC,total loss,Hillsdale,3486 Maple Lane,9,hurricane,other,NO,152400,300000,NO,152400,10131,162531,NO,NO,NO
5809,5809,956017,11/29/2006,OH,500,1844.076015,0,61381,35,FEMALE,armed-forces,camping,2/22/2015,NY,minor damage,Northbend,9659 Solo Ave,0,fire,fire,NO,174400,300000,NO,79855,817,80672,NO,NO,NO
5810,5810,786713,2/28/1991,IN,500,3822.36137,0,44745,36,FEMALE,armed-forces,reading,1/6/2015,NC,total loss,Northbrook,3350 MLK Ave,6,other,none,NO,373400,300000,YES,373400,6478,379878,NO,NO,NO
5811,5811,312111,10/1/2006,IN,1000,3057.169335,0,61989,26,MALE,sales,camping,1/4/2015,NY,major damage,Northbrook,4795 Maple St,18,fire,none,NO,329200,1000000,NO,288658,10853,299511,YES,NO,NO
5812,5812,191496,11/28/2007,IL,500,5850.846221,0,60614,57,FEMALE,farming-fishing,camping,2/21/2015,NY,total loss,Northbend,5604 Best Ave,4,hail,other,NO,515600,500000,NO,515600,12506,528106,YES,NO,NO
5813,5813,676349,1/27/2014,IN,1000,3107.404281,0,47793,38,MALE,tech-support,chess,1/23/2015,WV,total loss,Riverwood,1344 Pine Hwy,10,theft,police,YES,268600,1000000,NO,268600,6188,274788,YES,NO,NO
5814,5814,773730,6/25/1994,IN,1000,3699.714691,0,60012,28,MALE,craft-repair,video-games,2/17/2015,SC,minor damage,Northbend,4376 5th Ave,17,hurricane,other,NO,330400,300000,NO,134345,25,134370,NO,NO,NO
5815,5815,216417,10/18/1992,IL,500,4416.9943509999985,0,61841,31,FEMALE,sales,exercise,2/14/2015,VA,minor damage,Arlington,7597 3rd Ave,3,fire,other,NO,533400,500000,NO,293287,5494,298781,NO,YES,NO
5816,5816,319180,11/17/1997,IN,500,9876.55551,0,45942,46,MALE,farming-fishing,movies,1/14/2015,VA,major damage,Riverwood,1346 Texas Ave,23,theft,fire,NO,1004600,300000,NO,694759,9264,704023,NO,NO,NO
5817,5817,998477,10/7/1998,IL,1000,4657.873384,0,60399,39,FEMALE,craft-repair,dancing,2/3/2015,VA,total loss,Northbrook,5089 Britain Drive,11,fire,fire,NO,517400,500000,NO,517400,6740,524140,NO,NO,NO
5818,5818,618344,2/11/2010,IN,500,5384.704179,6000000,60432,25,MALE,tech-support,video-games,1/22/2015,WV,minor damage,Springfield,4098 Andromedia St,9,theft,police,YES,497200,1000000,NO,289783,7649,297432,NO,NO,NO
5819,5819,737166,6/30/2008,IL,1000,907.8369099,0,61534,37,MALE,craft-repair,movies,2/21/2015,NY,total loss,Northbrook,7469 Francis Ave,13,hurricane,other,NO,95600,300000,YES,95600,1226,96826,NO,NO,NO
5820,5820,246829,10/17/2008,IL,1000,1640.136498,0,60433,26,FEMALE,tech-support,board-games,1/8/2015,SC,trivial damage,Northbend,7926 Francis Hwy,15,hurricane,ambulance,NO,156000,1000000,NO,34899,11101,46000,YES,NO,NO
5821,5821,480213,4/28/2004,IL,500,2100.100117,0,44153,33,FEMALE,other-service,movies,1/7/2015,PA,total loss,Springfield,8892 MLK Ridge,6,fire,other,NO,219800,1000000,NO,219800,16463,236263,NO,NO,NO
5822,5822,123663,9/29/1999,IN,500,5905.314693,0,60098,24,FEMALE,transport-moving,camping,2/13/2015,OH,minor damage,Hillsdale,7566 Washington Hwy,12,fire,police,YES,496000,300000,YES,215051,15302,230353,NO,NO,NO
5823,5823,944584,7/10/2011,IL,500,5756.308954,0,44025,55,FEMALE,adm-clerical,hiking,1/1/2015,NY,minor damage,Riverwood,8281 Solo Lane,0,hail,other,NO,533800,1000000,NO,282938,1134,284072,NO,NO,NO
